Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Giant Recruit,2,Minion,A giant fi ghter wearing borrowed armor.,"Batter, make a living, overwhelm, terrify",13,None,1,2,+1,Warhammer,Very Close,5 phy,,Minion (),"The Recruit is defeated when they take any damage. For every 7 damage a PC deals to the Recruit, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Giant Recruits within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage. 122 Daggerheart SRD",,,,,,,,,,
Gobstalker,2,Solo,"A fl eshy, fl oating ball of teeth that has numerous eyes and a bundle of questing mouth tentacles that shoot magic beams.","Ambush rivals, seek riches, shoot beams",15,10/20,8,6,+2,Mouth Tentacles,Very Close,2d6+3 phy,Magic +3,Relentless (3),The Gobstalker can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Anti-Mystica-Halitosis,"The Gobstalker’s rancid breath creates an invisible, magic-negating miasma. An attack, an ability, or a spell that deals magic damage or creates a magic eff ect fails automatically if used within Close range of the Gobstalker.",Tentacle Rays,"Mark a Stress to attack a target within Far range. On a success, roll a d8 for a random beam attack or spend a Fear to choose instead: 1. Beguile. The Gobstalker Beguiles the target. While Beguiled, the target sees the Gobstalker as a friend and can’t attack it. Additionally, when a PC rolls with Fear, a Beguiled PC must mark a Stress or attack a target chosen by the Gobstalker. A Beguiled PC must succeed on an Instinct Roll (16) to clear the condition. 2. Corrode. The target takes 2d8 magic damage and must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t, double the damage. 3. Doom. The target must mark all HP, but they can spend any number of Hope to reduce the number of HP marked this way by an equal amount. 4. Hypnosis. The target falls into a Deep Trance and can’t act except to try to wake up. This condition lasts until the target takes damage or wakes up with a successful Presence Roll (16). 5. Paralyze. The target freezes in place, becoming Vulnerable and Restrained until they mark 2 Stress. 6. Sear. The target takes 2d8 direct magic damage. 7. Scare. The target is Scared. While Scared, the target can’t take actions other than fl eeing the battle or trying to shake off their terror. Additionally, the target must mark a Stress whenever you spend a Fear. The target can clear the condition with a successful Presence Roll (16). 8. Slow. The target becomes Vulnerable and must mark a Stress to move until they spend 2 Hope.",Leech Lick,"On a successful standard attack, you can spend a Fear to clear a number of Stress equal to the number of HP the target marked.",,,,,,
Gorgon,2,Solo,"A snake-headed, scaled humanoid with a gilded bow, enraged that their peace has been disturbed.","Corner, hit-and-run, petrify, seek vengeance",15,13/25,9,3,+4,Sunsear Shortbow,Far,2d20+3 mag,Stealth +3,Relentless (2),The Gorgon can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Sunsear Arrows,"When the Gorgon makes a successful standard attack, the target Glows until the end of the scene and can’t become Hidden. Attack rolls made against a Glowing target have advantage.",Crown of Serpents,"Make an attack roll against a target within Melee range using the Gorgon’s protective snakes. On a success, mark a Stress to deal 2d10+4 physical damage and the target must mark a Stress.",Petrifying Gaze,"When the Gorgon takes damage from an attack within Close range, you can spend a Fear to force the attacker to make an Instinct Reaction Roll. On a failure, they begin to turn to stone, marking a HP and starting a Petrifi cation Countdown (4). This countdown ticks down when the Gorgon is attacked. When it triggers, the target must make a death move. If the Gorgon is defeated, all petrifi cation countdowns end.",Momentum,"When the Gorgon makes a successful attack against a PC, you gain a Fear.",,,,
Guahalan Alebrujo,2,Solo,"A huge, colorful, chimeric beast formed from many animals.","Destroy, give no quarter, ravage",14,13/26,6,5,+3,Tooth & Claw,Very Close,2d10+4 mag,"Brutal +2, Quick +2",The Beast Unleashed,The Alebrujo gains a bonus to damage rolls equal to the number of Fear you have.,Guahalan Sacrifi ce,"Spend a Fear to have the Alebrujo devour a Minion within Very Close range, then clear a HP or a Stress.",Howl of the Guahala,"Mark a Stress to have the Alebrujo emit a howl. Each PC within Far range must succeed on a Presence Reaction Roll or become temporarily Panicked. While Panicked, a PC must mark a Stress when they take the spotlight.",Rip & Tear,"Spend a Fear to make a standard attack with advantage. On a success, you can mark a Stress to make another standard attack against an additional target within range. You can continue marking Stress to make additional attacks until the Alebrujo fails an attack roll.",Brutal Spectacle,"When the Alebrujo deals Severe damage, you can spend a Fear to force all targets within Close range to mark a Stress.",,,,
Guahalan Fang Lord,2,Leader,A shapeshifting warlord who leads a group of warriors into battle.,"Bolster allies, lead the pack, rally the troops",16,12/24,6,5,+2,Spear,Very Close,2d8+4 phy,"Ancient Knowledge +2, Hunter +2",Pack Alpha,"Pool. When the Fang Lord makes a successful attack, add a token to the Guahalan Pool. When a Guahalan ally within Close range makes an attack, you can spend a token from the Guahalan Pool to give them advantage on the roll.",Unleash the Beast,"Spend a Fear to have the Fang Lord adopt a bestial form. While in this form, they gain a bonus to attack and damage rolls equal to the number of Stress they have marked. Additionally, they can move up to Far range instead of Close range before taking an action.",Call of the Guahala,"Spend 2 Fear to spotlight all Guahalan Shifters within Close range. Each one makes a standard attack against a target within range. If any attacks succeed against the same target, combine their damage.",Feral Form (Phase Change),"When the Fang Lord marks their last HP, replace them with the Guahalan Alebrujo and immediately spotlight them.",,,,,,
Guahalan Shifter,2,Standard,A shapeshifting masked warrior who has animalistic features.,"Escape, profi t, throw smoke",15,9/18,4,3,+1,Warclub,Melee,2d8+4 phy,"Hunter +2, Trapper +2",Unleash the Beast,"Spend a Fear to have the Shifter adopt a more bestial form. While in this form, they gain a bonus to attack and damage rolls equal to the number of Stress they have marked. Additionally, they can move up to Far range instead of Close range before taking an action.",Pack Attack,"Mark a Stress to make a standard attack. On a success, the attack gains a bonus to damage equal to the number of other Shifters within Very Close range of the target. Daggerheart SRD 123",,,,,,,,,,
Guahalan Spirit Beast,2,Minion,A brightly colored spirit in the shape of an animal.,"Protect, sacrifi ce, surround",13,None,1,2,+1,Bite & Claw,Melee,5 mag,"Ritual +3, Ancient History +2",Minion (),"The Spirit Beast is defeated when it takes any damage. For every 5 damage a PC deals to the Spirit Beast, the PC defeats an additional Minion within range the attack would succeed against.",Ethereal Form,The Spirit Beast has resistance to physical damage.,Group Attack,"Spend a Fear to choose a target and spotlight all Guahalan Spirit Beasts within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 magic damage each. Combine this damage.",Beast Bomb,"When the Spirit Beast is defeated, it explodes in white fl ame and deals 5 magic damage to creatures within Melee range. GUAHALAN SPIRIT SINGER Tier  Support A shapeshifting summoner who has animalistic features. Motives & Tactics: Abjure, bolster, summon Diffi culty: 14 | Thresholds: 9/18 | HP: 4 | Stress: 6 ATK: +2 | Spirit Flame: Close | 2d6+4 mag Experience: Ritual +3, Ancient History +2 FEATURES",Unleash the Beast,"Spend a Fear to have the Spirit Singer adopt a more bestial form. While in this form, they gain a bonus to attack and damage rolls equal to the number of Stress they have marked. Additionally, they can move up to Far range instead of Close range before taking an action.",Beast-Caller,Spend a Fear to have the Spirit Singer summon 2d4 Guahalan Spirit Beasts within Very Close range and immediately spotlight one.,Rage of Spirits,"Mark a Stress to spotlight any number of Guahalan Spirit Beasts within Very Close range and have each one move into Melee range with the nearest PC and make a standard attack. If any attacks succeed against the same target, combine their damage."
Hill Titan,2,Solo,A goliath clad in animal skins and surrounded by a swarm of insects.,"Eat, make a mess, patrol stomping grounds",14,13/26,10,5,+3,Tree Stump,Very Close,2d10+4 phy,"Survival +3, Vengeful +3",Relentless (3),The Titan can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Momentum,"When the Titan makes a successful attack against a PC, you gain a Fear.",Gullible,PCs have advantage on action rolls to trick or emotionally manipulate the Titan.,Bug Swarm,PCs are Vulnerable while within Very Close range.,Mighty Swing,Spend a Fear to make a standard attack against all targets within Very Close range.,,,,
Hive Walker,2,Standard,A corpse fi lled with and puppeted by a colony of carrion-eating bees.,"Encase prey in honey, protect the hive",12,11/24,3,3,+1,Rotting Fist,Melee,2d6+3 phy,Meat Eater +2,Blood Honey,The Walker disgorges thick crimson honey at all targets between it and a point within Close range. Each target in that line must succeed on an Agility Reaction Roll or take 2d8 magic damage and become temporarily Restrained as the honey hardens on them.,Bee-Ruption,"When the Walker marks HP, vengeful bees erupt from its body to protect it. Each target within Very Close range must succeed on an Instinct Reaction Roll or take 1d8 direct physical damage for each HP the Hive Walker has marked. Restrained targets automatically fail the reaction roll.",,,,,,,,,,
Jack-O’-Lantern,2,Minion,A fl oating pumpkin or other gourd that has a face carved into it. The soul trapped within it emits an eerie glow.,"Bite, fl oat, laugh, tell spooky stories",14,None,1,1,+2,Chomp,Melee,6 phy,,Minion (4),"The Jack-o’-Lantern is defeated when it takes any damage. For every 4 damage a PC deals to the Jack-o’- Lantern, the PC defeats an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Jack-o’-Lanterns within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 6 physical damage each. Combine this damage.",Spine-Chilling Cackle,"When a PC within Very Close range rolls with Fear, you can mark a Stress to gain an additional Fear.",,,,,,,,
Juvenile Flickerfly,2,Solo,A horse-sized insect with iridescent scales and crystalline wings moving faster than the eye can see.,"Collect shiny things, hunt, swoop",14,13/26,10,5,+3,Wing Slash,Very Close,2d10+4 phy,,Relentless (3),The Flickerfl y can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Peerless Accuracy,"Before the Flickerfl y makes an attack, roll a d6. On a result of 4 or higher, the target’s Evasion is halved against this attack.",Mind Dance,"Mark a Stress to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfl y learns one of the target’s fears.",Hallucinatory Breath,"Countdown (Loop 1d6). When the Flickerfl y takes damage for the fi rst time, activate the countdown. When it triggers, the Flickerfl y breathes hallucinatory gas on all targets in front of them up to Far range. Targets must succeed on an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfl y have disadvantage on this roll. Targets who fail must mark a Stress and lose a Hope.",,,,,,
